"period_year","period_number","kod_zl","reg_num","zp"
2017,12,"16131958","016943130304",57471.0
2017,10,"16131958","016943130304",57472.0
2017,4,"16131958","016943130304",57471.0
2017,5,"16131958","016943130304",57471.0
2017,6,"16131958","016943130304",57472.0
2017,9,"506856370","016943130304",29885.0
2017,8,"506856370","016943130304",31609.0
2017,7,"506856370","016943130304",29885.0
2017,4,"506856370","016943130304",28736.0
2017,6,"506856370","016943130304",32184.0
2017,2,"506856370","016943130304",28735.0
2017,1,"506856370","016943130304",28736.0
2017,3,"506856370","016943130304",28736.0
2017,10,"506856370","016943130304",29885.0
2017,12,"506856370","016943130304",28735.0
2017,11,"506856370","016943130304",28736.0
2017,8,"182673180","016943130304",8736.0
2017,7,"182673180","016943130304",15517.0
2017,9,"182673180","016943130304",11494.0
2017,1,"182673180","016943130304",11149.0
2017,2,"182673180","016943130304",14483.0
2017,3,"182673180","016943130304",8276.0
2017,5,"182673180","016943130304",14482.0
2017,6,"182673180","016943130304",15173.0
2017,4,"182673180","016943130304",16782.0
2017,12,"182673180","016943130304",15517.0
2017,11,"182673180","016943130304",16552.0
2017,10,"182673180","016943130304",11264.0
2017,10,"786857195","016943130304",18391.0
2017,12,"786857195","016943130304",18391.0
2017,11,"786857195","016943130304",18391.0
2017,3,"786857195","016943130304",13908.0
2017,2,"786857195","016943130304",7126.0
2017,1,"786857195","016943130304",10000.0
2017,5,"786857195","016943130304",6092.0
2017,4,"786857195","016943130304",16322.0
2017,6,"786857195","016943130304",7701.0
2017,7,"786857195","016943130304",15862.0
2017,8,"786857195","016943130304",6437.0
2017,9,"786857195","016943130304",18391.0
2017,10,"61749606","075027439029",32853.56
2017,12,"61749606","075027439029",68966.32
2017,11,"61749606","075027439029",31269.56
2017,8,"61749606","075027439029",4997.13
2017,9,"61749606","075027439029",34588.95
2017,9,"188090610","075027439029",14942.56
2017,7,"188090610","075027439029",26045.56
2017,6,"368331010","075027439029",18937.13
2017,5,"368331010","075027439029",22531.1
2017,4,"368331010","075027439029",17077.56
2017,3,"368331010","075027439029",21666.13
2017,1,"368331010","075027439029",30366.26
2017,2,"368331010","075027439029",23645.38
2017,7,"368331010","075027439029",26765.91
2017,8,"368331010","075027439029",4494.64
2017,12,"188090610","075027439029",37923.98
2017,10,"188090610","075027439029",14943.24
2017,2,"188090610","075027439029",14944.83
2017,1,"188090610","075027439029",18530.67
2017,5,"188090610","075027439029",14944.83
2017,8,"188090610","075027439029",9096.87
2017,11,"188090610","075027439029",16092.33
2017,3,"188090610","075027439029",16093.83
2017,4,"188090610","075027439029",14944.83
2017,6,"188090610","075027439029",9464.96
2017,1,"271488024","075027439029",20560.06
2017,2,"271488024","075027439029",22995.06
2017,3,"271488024","075027439029",21845.06
2017,5,"271488024","075027439029",21845.06
2017,6,"271488024","075027439029",28735.62
2017,4,"271488024","075027439029",22989.28
2017,5,"83080629","075027439029",3448.0
2017,4,"83080629","075027439029",3448.0
2017,6,"83080629","075027439029",3449.0
2017,7,"83080629","075027439029",4800.4
2017,8,"83080629","075027439029",3448.0
2017,9,"83080629","075027439029",3448.0
2017,10,"83080629","075027439029",4437.0
2017,12,"83080629","075027439029",4399.2
2017,11,"83080629","075027439029",3448.0
2017,2,"83080629","075027439029",7529.0
2017,3,"83080629","075027439029",3448.0
2017,11,"814903834","075027439029",21327.45
2017,12,"814903834","075027439029",55173.38
2017,10,"814903834","075027439029",25618.48
2017,6,"593656834","075027439029",10112.78
2017,4,"593656834","075027439029",58003.33
2017,5,"593656834","075027439029",67553.57
2017,10,"782299034","075027439029",26684.85
2017,12,"782299034","075027439029",94261.57
2017,11,"782299034","075027439029",27464.1
2017,9,"782299034","075027439029",26923.38
2017,8,"782299034","075027439029",2798.96
2017,7,"782299034","075027439029",40065.81
